headline,label
"Riding on Odia pride, BJP breaks BJD’s ‘invincible’ tag, Naveen set to lose power after 24 yrs",0
"As polling gets over in Assam today, how delimitation, changed demographics took centre stage",0
"Why Mamata Banerjee moved fast to defuse Messi event fiasco: Apology, arrests to Sports Minister’s exit",0
Is Nitish Kumar’s son joining politics? JD(U) leaders say likely after Holi: ‘He seems to be ready’,0
"Sonam Wangchuk: ‘Govt’s Ladakh notifications a partial resolution… If our main issues not met, BJP will face the consequences’",0
Supreme Court refuses to entertain plea against puja at Ladle Mashak Dargah on Mahashivaratri,0
"Decode Politics: Nehru Memorial to PM Memorial, how its face has changed",0
Newsmaker | Congress’s choice to take on Atishi in Delhi polls: Who is Alka Lamba?,0
"Today in Politics: Amit Shah to chair high-level huddle on J-K security, Amarnath Yatra preps",0
"Rajnath praises Coast Guard’s role during Operation Sindoor, urges it to prepare 2047 roadmap",0
"McDonald’s, KFC, and other popular food brands at railway stations soon",0
IndiGo crisis eases after six days; ₹610 crore refunded as govt. tightens oversight,0
"Address ‘longstanding demands’ of Baloch people, India tells Pakistan",0
"Decode Politics: Pending reports being tabled in Delhi Assembly, what are CAG’s powers?",0
"NGT notice to U.P., M.P., Rajasthan governments over ‘serious health issues’ due to sewage in drinking water",0
Enquiry into private universities is neither a witch-hunt nor playing ‘headmaster’: SC,0
"India, U.S. seek additional punitive measures against LeT, JeM and their backers",0
"Saving Himalayas is as important as saving borders, says veteran BJP leader Murli Manohar Joshi",0
"Sharad Pawar: ‘Many regional parties will move closer to Congress, some may merge’",0
NIA arrests another key accused in Delhi car bombing,0
"Days after Lok Sabha cheer, Mumbai Congress returns to fighting ways",0
"Congress loses sole Gujarat bypoll, down to 11 in state Assembly of 182",0
"Bhupinder Singh Hooda interview: ‘In loktantra (democracy), log haar gaye, tantra jeet gaya’",0
"Highlights of the 17th Lok Sabha: Landmark Bills, record-high suspensions, a no-confidence motion",0
Congress slams Modi government as IndiGo cancellations spark nationwide disruption,0
Former AMU VC’s message: ‘It has always been a beacon for us. Make more such beacons. Why bank only on one?’,0
"Operation Sindoor ongoing, any misadventure will be dealt with firmly: Army Chief",0
"Not India Shining or even INDIA shining moment, but BJP will feel the glare",0
Former JNU students union president Dhananjay to contest Bihar Assembly election,0
Today in Politics: Delhi HC to hear plea on coaching centre tragedy; manipur Assembly session to commence,0
"PM Modi meets Australian counterpart, discusses cooperation in defence & security, critical minerals, trade",0
"BJP expels Karnataka rebel Yatnal for ‘indiscipline’, gives a leg-up to Vijayendra",0
"Election Commission appoints new observers to monitor SIR in eight States including Bengal, T.N.",0
NCERT textbook ‘rewrite’ was an ‘RSS-driven exercise’: Congress,0
"Census 2027 to cost ₹11,718 crore, no budget earmarked for NPR",0
"Congress warns Election Commissioners, threatens strict action over ‘vote theft’",0
Robert Vadra ‘passed the buck’ to three dead ‘associates’ for Gurgaon deal: Who are they?,0
"Loyal alliance, restless partner: Congress MP’s power-sharing demand tests DMK tie-up",0
Manipur simmers after Arambai Tenggol leader arrested: A short history of the Meitei outfit,0
"Rajya Sabha Waqf Bill battle tighter, but NDA may edge out Oppn 130-106",0
Decode Politics: Rahul asks Cong govts to enact ‘Rohith Vemula Act’. Where do the states stand?,0
Army intensifies winter counter-terror operations in J&K during Chillai Kalan,0
Dalit candidates in general seats rarely win. Can Chirag Paswan prove an exception?,0
SKM to intensify stir to press for key demands,0
How Jagan Mohan Reddy’s deep ties with aide Vijayasai Reddy turned into bad blood,0
Why a Baramati sugar mill contest is spicing up Maharashtra politics,0
"Govt cancels lateral entry hiring, as Oppn ‘social justice’ attack hits a nerve",0
ED may attach Al-Falah University campus under anti-money laundering law,0
Today in Politics: Home Minister Amit Shah to begin TN visit; Karnataka BJP continues protests against Cong govt,0
"2,792 days later, Siddaramaiah stands on the cusp of history, legacy still in the making",0
Bihar Deputy CM Samrat Choudhary responds to PK’s attacks: ‘My lawyer filed affidavit that said I was a minor … but court did not accept it’,0
"Maratha quota issue: BJP to bat on front foot, underline its role vs MVA’s",0
"As Parliament passes VB-G RAM G Bill, replaces MGNREGA, is it the end of a Congress legacy or start of a new campaign?",0
Sonam Wangchuk: ‘This govt no longer has attitude of its last term… We trust it but are ready for most extreme steps’,0
CBI arrests Singapore-based accused from Delhi in ₹32-crore bank fraud case,0
‘Weed called Anbumani removed’: Ramadoss expels son from PMK,0
"In Goa, a slugfest over remark that first CM had ‘allergy to state’s identity’",0
"To counter Rahul Gandhi’s China, US jab, Modi brings up a book on JFK. What does it say?",0
"Amid Bihar’s shifting sands in twilight of Nitish, Chirag Paswan eyes centrestage",0
Today in Politics: Waqf Panel chief heads to Karnataka amid rising BJP heat over ‘encroachment’ notices,0
"Registration not mandatory, we are recognised as a body of individuals: RSS chief",0
"CJI says 'general' directions in 2018 hate crime judgment may be 'unmanageable', favours case-to-case action",0
RSS starts Kashmir to Kanyakumari 'Dhwaj Yatra',0
"‘Balance of caste, community ignored’: Cong dissent note over choice of NHRC chief",0
A house for Smriti Irani in Amethi: Why the House doesn’t ask for it,0
"Today in Politics: PM Modi gets set to file nomination in Varanasi, eyes third term",0
"Mehbooba slams Centre over Vande Mataram debate, says BJP indulging in 'empty symbolism'",0
"With Court bringing ‘closure’ on Section 6A, focus in Assam shifts to NRC, and that CAA question",0
"Indian Army allows ‘passive participation’ on social media, revises long-standing ban",0
Congress leader and former Union Minister Shivraj Patil passes away,0
UP anti-conversion law: Oppn’s ‘No answer… has love jihad stopped?’ vs Govt’s ‘justice anyway long drawn’,0
"In 2019, BJP won 224 of 303 seats with 50%-plus votes; for INDIA, this number was 54",0
Police deny permission for NREGA activists’ Jantar Mantar protest,0
Is NCP heading for a merger? Speculation gains ground as Pawars share stage again,0
Assam CM Sarma says Gaurav Gogoi asked questions ‘to help Pak Army’. Now see the data,0
Congress accuses BJP of ‘double standards’ over its engagement with Communist Party of China,0
Why Asaduddin Owaisi is backing Congress in key Telangana bypoll: ‘Where is the BRS vote?’,0
"From the Urdu Press: ‘Current dispensation wants to bulldoze judiciary too’, ‘SC ruling shows Urdu a bridge, not a wall’",0
"NC to contest all 4 RS seats in J&K, ‘snubbed’ Congress keeps out",0
Today in Politics: MVA begins seat-sharing planning for Maharashtra Assembly polls,0
"From the Urdu Press: ‘Bypoll booster for INDIA mirrors LS trends’, ‘Why Samvidhan Hatya Diwas now, in third term?’",0
"It’s final: With EPS as face, common agenda in works, AIADMK, BJP form alliance",0
"Parliament Winter session: Rajya Sabha witnesses war of words over renaming of Raj Bhavans, expunging of remarks",0
Rethink on lateral entry to Waqf: Need for Modi govt to keep ally lines open,0
Is it over for Dilip Ghosh and BJP? His absence from key events sets off buzz,0
"Fifty years ago, delimitation saw similar concerns, about Tamil Nadu share to seat number increase, formula",0
"Industry raises concerns about online sale of pesticides, demands strict regulation",0
Delhi court grants Goa police 48 hours transit remand of Luthra brothers in nightclub fire case,0
"Supreme Court asks FSSAI to consider warning labels for packaged foods high in sugar, salt and saturated fat",0
How Congress dealt Opposition unity a body blow in Assam: ‘Historic betrayal’,0
"After relief from Supreme Court to others, another Delhi riots accused files bail plea seeking parity",0
Indian Army’s Gajraj Corps develops high-altitude monorail in Arunachal Pradesh,0
"Akhilesh repeats his ‘18,000 affidavits’, ‘voter deletion’ claims, but picture not as simple in the 4 seats he named",0
Delhi-Katra special trains extended amid high passenger demand,0
HAL denies reports about Tejas jet crash,0
"SC hearing on SIR updates: SIR order provides complete set of procedural rules, says Rakesh Dwivedi",0
"Rs 67,928 crore: Pre-poll spending by govts in recent 8 major state elections",0
"Presidential Reference: Supreme Court opinion draws mixed views from legal experts, Opposition leaders",0
"From the Urdu Press: ‘Amid BJP jumla, Nitish may meet Shinde fate’, ‘Tejashwi must walk the talk over Muslim share in power’",0
AAIB preliminary report on plane crash near Baramati to be released very soon: Civil Aviation Minister,0
"Swaraj Kaushal passes away: Lawyer who defended George Fernandes, helped end Mizoram insurgency, was married to Sushma Swaraj",0
"In Agra reserved seat, a desire for BSP as BJP hopes to win seat fourth time",0
"Home Minister Amit Shah praises schemes worth ₹45,000 crore for exporters after Cabinet nod",0
"In AAP’s existential battle, several factors are at play: What to watch out for in Delhi polls",0
Accused in murder case of gangster Goldy Brar’s cousin shot dead in Punjab’s Mohali; Brar booked,0
Failure to count DNTs in 2027 Census could alienate over 10 crore people: G.N. Devy,0
Mithilanchal’s irony: Anger on the ground but affection at the booth for NDA,0
Why PM Modi keeps bringing up a caste clash of 14 years ago in Haryana,0
"Indore collector, mayor meeting at RSS office, days after water contamination deaths, sparks fresh row",0
"Nearly 2,000 security personnel launch anti-Maoist operation along Chhattisgarh-Telangana border",0
"Tensions escalate in Rajya Sabha over Rahul issue, Opposition stages walkout",0
"From the Urdu Press: ‘BJP behind throne, Nitish’s 10th innings to be bumpy’, ‘Cong must resolve Siddaramaiah, Shivakumar tussle’",0
Meet AAP’s maiden winner in J&K polls: Mehraj  Malik – Doda grassroots worker to key Jammu face,0
BJP rejigs Bihar caste calculus as two new faces find place in Modi govt,0
IndiGo loses appeal against DGCA order imposing penalty for alleged pilot training lapses,0
A fruit to ‘Uttarakhandiyat’: How Congress is readying 2027 game plan against BJP in the hill state,0
"Today in Politics: Why Amit Shah’s Tamil Nadu visit is crucial; PM Modi in Varanasi, Madhya Pradesh",0
Indian naval sailing vessel Kaundinya sails on maiden overseas voyage to Oman,0
Parthiv Patel backs Artificial Intelligence sports-tech startup,0
"Ambernath to Navi Mumbai, why BJP vs Shiv Sena battle has flared up in civic polls",0
Why Devendra Fadnavis govt is running out of options as Jarange Patil dials up quota heat,0
Pilots' body FIP serves legal notice to AAIB in relation to Ahmedabad plane crash probe,0
"Congress in crisis in Wayanad, but Priyanka Gandhi steers clear of ‘local politics’ during ongoing visit: ‘Workers not happy’",0
"With caste survey, Telangana govt clears sub-categorisation of SCs, may queer Congress pitch",0
"Mumbai BMW hit-and-run: Shiv Sena leader in spotlight is long-time Shinde aide, businessman",0
"Ex-BJP UP MP says paper leaks a reason for loss, adds can’t discount Dalit switch",0
Dense fog disrupts flight operations in northern India,0
"Shahabuddin at its heart, Bihar’s Siwan braces for old ‘gang’ names and an old rivalry",0
"AAP’s Haryana plan: Focus on Assembly seats bordering Punjab, Delhi",0
Abhishek Banerjee as West Bengal Home Minister? Proposal sparks a feud in Trinamool Congress,0
"Lok Sabha passes Industrial Relations Code (Amendment) Bill, 2026",0
"Sangh Parivar’s stormy petrel Pragya Thakur: Godse praise, Hemant Karkare remark to Bhopal giant-killer",0
"Hooda to Selja, why Haryana Congress is enthused, divided over ex-MP’s foot march",0
Ticket anger in BJP sees resignation by two old-time Jammu leaders,0
Defence Minister dedicates 125 BRO projects to nation,0
"As south states explore a federalism front against Modi govt, how history is repeating itself",0
"Beldanga violence: Was it fair to invoke UAPA, Supreme Court asks NIA",0
Bill against after-hour work calls: A look at Supriya Sule’s draft law on ‘right to disconnect’,0
"How Devendra Fadnavis placated Eknath Shinde, kept the peace in Mahayuti",0
"Centre’s blunder caused Indigo’s flight cancellations ‘disaster’, says Mamata Banerjee",0
"Maternal mortality rate reduced due to 89% institutional deliveries, says J.P. Nadda",0
"‘Relations stable, strong’: Envoys of Quad countries hold rare publicised meeting in Beijing",0
"Wingtips of Air India, IndiGo planes ‘make contact’ at Mumbai airport",0
"Digvijay's remark on X open dissent against Congress, Rahul dooming party: BJP",0
"As Sukhu’s wife hits campaign trail, Himachal Congress divisions come bubbling up",0
Today in Politics: Maharashtra Cabinet expansion; All eyes on posts,0
"UP BJP gets a new president: Meet Pankaj Chaudhary, veteran Kurmi leader the party is betting on",0
"‘Opponents, not enemies’: Parliament needs to remember Sushma Swaraj’s words once more",0
Impeachment motion against Justice Varma: Govt reaches out to Opposition to build consensus ahead of Monsoon Session,0
"Held for ‘derogatory’ remark against Karnataka woman minister, BJP MLC and Yediyurappa rival: Who is C T Ravi",0
"Operation Sindoor highlighted India’s decisive air power, says Rajnath Singh",0
"With names for 236 seats declared, MVA allies focus on strongholds",0
"In aspirational districts, BJP seats dip, Congress doubles tally; vote shares almost constant from 2019",0
"Not a deal, but surrender: Congress alleges Indo-U.S. trade pact 'betrayal' with India",0
Operation Sindoor: Congress top brass to discuss security situation,0
"In Haryana LS seats, BJP, Congress in even split, but INDIA hits magic number ahead of Assembly polls",0
"Fewer seats but AAP wins Phagwara mayor polls, Congress cries foul",0
"Centre imposes airfare caps, announces special trains amid IndiGo’s slow return to normalcy",0
"PM Modi in Israel highlights: Agreement reached on use of UPI in Israel, says PM Modi",0
"Ajit Pawar’s death: President Murmu, PM Modi and other leaders offer condolences",0
India inaugurates new state-of-the-art Consulate building in Shanghai,0
"Maharashtra, Karnataka, Tamil Nadu top list of vacant NEET PG seats",0
"Parliament is a place for delivery, not drama: PM Modi",0
‘Utilise Parliament time better’: Sharad Pawar’s NCP joins allies who want Congress to move on from Adani issue,0
People raised in State-run orphanages and charity homes struggle with SIR rules on parent mapping,0
Priyank Kharge claims VB-G RAM G act undermines MGNREGA's rights-based framework,0
"Parliament Winter session Day 9 updates: 'Against erasing people', say Opposition MPs in electoral reforms debate",0
"In a first, private technical staff to assist officials in Census",0
"Nearly 44,000 startups registered in 2025, highest since the launch of Startup India: PM Modi",0
"As Patnaik vows ‘no more support to BJP’, a brief history of BJD backing for Modi govt in 10 years",0
"Key takeaways from Rahul speech: Gunning for Modi, deja vu over Indo-US deal, outreach to youths, farmers",0
"Decode Politics: Why video has reignited BJP vs AAP war, Delhi to Punjab",0
"Today in Politics: Parliament set for heated debate on Pahalgam attack, Operation Sindoor",0
Chirag Paswan completes his turnaround: From the brink of political oblivion to Modi 3.0 Cabinet,0
Cabinet resolution hails shifting of PMO to Seva Teerth as 'confluence of history and future',0
"Polls roll in, sweep aside cloud of recent militant attacks in Jammu areas",0
India sends more relief to Sri Lanka after Cyclone Ditwah,0
"SC hearing on SIR updates: Social audit, more credible way to revise electoral roll, says Prashant Bhushan",0
"Atishi in chair, it’s back to business for AAP,  BJP: Kejriwal the issue, graft the plank",0
"Bihar sets new state record for victory margins, powered by JD(U)’s strong show",0
"At first NDA meeting under him as CM, Nitish Kumar accepted as face of coalition; stress on ‘communal harmony’",0
"Today in Politics: Parliament winter session begins, no clarity yet on CM question in Maharashtra",0
"J&K’s first ‘political’ Governor, Satya Pal Malik had a controversial 14-month run in Srinagar Raj Bhawan",0
"This year, President’s At Home ‘will sound, taste, feel like South India’",0
‘Only God can save Congress’: Senior MP leader questions party’s mumbo ‘jumbo’ changes,0
"Had insightful discussions on governance, reforms at Chief Secretaries’ meeting: PM Modi",0
NYC mayoral election an “internal matter” of United States: official sources on Zohran Mamdani’s victory,0
"CISF personnel honoured for saving lives, vital installations during Operation Sindoor",0
"Bihar elections: BJP sees changes as counter to anti-incumbency, but has few easy choices",0
"UCC, delimitation and Muslim quota: Day before swearing-in, TDP flags ‘discussion’ points",0
"After High Court, desperate BRS turns to President to ‘put an end to poaching’",0
"V-P poll: BRS’s 4 MPs to abstain, Oppn Telugu card doesn’t work",0
Jaishankar to be chief guest at inaugural ceremony of UNESCO meet on protecting intangible heritage,0
"Amid heated debate, banter between Opposition and Chair",0
"Delimitation meet: Hindi belt Opp parties not on same page, TMC too stays away; BJP ally TDP silent",0
Rise of Jana Sena Party scripted by ‘Power Star’ – from 2019 poll ashes to 2024 glory,0
"BJP’s Christian face in Kerala: Who is George Kurian, second minister from the state in Modi govt?",0
"50 years of Emergency | ‘When fear gave way… and we sensed there was a change in the air’, a reporter remembers",0
"Convicted for life, after a feud to death: The story of Munna Shukla, a rival, and Bihar politics",0
"Chilly conditions grip many places in Punjab, Haryana; slight respite in Kashmir, Rajasthan",0
"Sukhu ka samosa, which wasn’t: Why Himachal CID is probing an order for CM",0
‘We cannot seek justice for the past’: Ram temple’s officer-architect-in-chief Nripendra Misra,0
"Congress questions impact of India-U.S. trade pact on agriculture, crop prices",0
Why BSP has stopped asking for donations at cadre meetings,0
"In Tamil Nadu, BJP faces the twin trust deficit hurdle: resources and representation",0
"SC raps Assam Police for keeping UAPA accused in custody for two years without chargesheet, grants bail",0
"Inside a faltering BJP experiment in Madhya Pradesh: Workers complain of ‘tyranny of officials’, turnout dips",0
"From the Urdu Press: ‘Bengal violence disturbing, Waqf stir must be peaceful’, ‘Congress must go for broke to win back Gujarat’",0
"Today in Politics: At TMC’s Martyr’s rally, Akhilesh likely to share stage with Mamata",0
"Akal Takht punishment to assassination bid, pendulum swings again for Sukhbir Badal",0
"UP Congress chief: ‘There is jungle raj in UP…To remove it, we decided to let SP contest bypolls…We will continue to be ‘big brother’ in the alliance’",0
‘A candidate can’t be imposed… BJP does not want strong leaders rising’: BJP MP-turned-Congress Churu candidate,0
"In Maharashtra, amid growing Jain ire, why BJP is struggling to mend the ties",0
Jailed strongman Dhananjay Singh’s wife is BSP’s surprise pick for Jaunpur LS seat: Who is Srikala Reddy Singh?,0
Why Manohar Lal Khattar was not at PM Modi’s Haryana poll rally,0
"J&K Governor who oversaw Article 370 abrogation, Satya Pal Malik became vocal BJP critic in his last years",0
"Behind Stalin, Rahul’s ‘sweet’ bonhomie, a show of INDIA strength amid key battle for West TN",0
Union Home Minister Amit Shah chairs Parliamentary panel meeting in Andamans; discusses national security issues,0
PM Modi to launch nationwide HPV vaccination drive on February 28,0
"From the Urdu Press: ‘India should say no to Trump’s Board of Peace’; ‘EC must make SIR exercise foolproof, transparent’",0
Newsmaker |  BJP overlooks senior leaders to pick ex-NCW chief Rekha Sharma for Rajya Sabha seat from Haryana,0
Why TMC’s appointment of a Sufi shrine cleric is a significant move as Bengal politics simmers,0
"South Kashmir campaign set to end, PDP spots green shoots, Jamaat struggles to get off ground",0
‘Daddy you spoke about BJP only for 2 minutes’: Why BRS can’t ignore K Kavitha’s complaint,0
Mamata’s right-hand man who also powered BJP’s Bengal rise: Mukul Roy’s journey across the divide,0
AAP’s Punjab play book: Party turns to Ashutosh Rana-starrer ‘Humare Ram’ to keep BJP in check,0
"Amid three-language war, data shows only one-fourth Indians are multilingual",0
Renaming MGNREGA will cost lot of government resources: Priyanka Gandhi,0
Kairana MP Iqra Choudhary: ‘No Muslim woman is happy with BJP. Their triple talaq claim is also baseless as they have criminalised a civil issue’,0
"Goa BJP, in transition, hits turbulence as internal divisions bubble up",0
"BJP leaves 2 Delhi seats for Bihar allies, no luck for Shinde Sena",0
"Kavach installed on 2,000 km of rail network; rollout moving very fast, Vaishnaw tells Lok Sabha",0
"Waqf Act: In assurance to SC, Centre pauses same provisions it had defended in Parliament",0
Congress’s Tariq Anwar on Bihar debacle: ‘There was no coordination among allies … need to revisit strategy’,0
PM Modi leads counter to Opposition claims: ‘NDA respects Constitution… Even Babasaheb can’t change it’,0
"As Gujarat votes today, the opposition within BJP’s biggest challenge",0
"‘Arrogance limited BJP to 241 seats, opposition to Ram limited INDIA bloc to 234’: Senior RSS leader",0
"High-stakes Bengal battle concludes today with contest for Kolkata, adjoining seats",0
Sunetra Pawar: The reluctant politician set to carry forward husband Ajit Pawar’s legacy,0
‘BJP is like a multinational company where innovation is limited and people work as directed by Delhi’: Former Jharkhand BJP leader,0
"BJP Bengal MP, ex-HC judge: ‘Cases against TMC not being pursued properly… CBI, ED performance is very poor’",0
2024 Lok Sabha elections in five charts,0
P Chidambaram on Kashmir: ‘Govt should weigh its options and choose the most effective one. Congress will support it’,0
"All-party meeting: Opposition demands debate on SIR, national security in Parliament",0
"‘For BJP, Constitution is holy scripture that means more than the Gita’: Haryana BJP’s key Dalit face",0
"India monitoring reports of attacks against minorities in Bangladesh, says govt.",0
"Stray dogs case: Let public, educational institutions start their own animals cells and not bank on municipal authorities, one of nation’s oldest law centre tells SC",0
Five Assembly bypolls in four states  today: What is at stake for key players,0
Feeling left out? Sangh workers can now reach BJP’s 19 Maharashtra ministers via PAs dedicated for this,0
Congress to hold rally in Delhi against ‘vote theft’ on December 14,0
"Naveen Patnaik returns to BJD helm for 9th term, flags ‘Odisha rights’ to counter BJP’s ‘Odia Asmita’",0
"Centre describes explosion in Delhi as ‘terrorist incident’, promises justice",0
"Padma Awards 2026 updates: Dharmendra, former Kerala CM Achuthanandan awarded Padma Vibhushan posthumously, actor Mammootty awarded Padma Bhushan",0
"Mahagathbandhan’s caste math errors: All but 2 of RJD’s EBC candidates lost, Congress dependence on upper castes backfired",0
Indigenous stealth frigate ‘Taragiri’ delivered to the Indian Navy,0
"From the Urdu Press: ‘Could Nitish checkmate BJP, Chirag?’, ‘Mahagathbandhan fiasco derails Rahul-Tejashwi Yatra’",0
"In ‘tiger country’ Pilibhit, a poll battle shapes up without BJP’s Gandhis after decades",0
"BJP not keen on extending President’s Rule in Manipur, summons MLAs to Delhi tomorrow",0
Is Mamata Banerjee embracing ‘soft Hindutva’? Political logic of her temple push explained,0
Union Home Ministry plans English medical dictionary that will be translated into Indian languages,0
Today in Politics: Why Opposition may find it hard to counter govt in aftermath of Operation Sindoor,0
"SKM returns to power in Sikkim, sweeps 31 of 32 seats in Himalayan win",0
