headline,label,confidence
Hemant Soren may return as Jharkhand CM: ‘Want to send clear message of leadership’,non-sarcastic,0.95
"Decorated South Goa SP removed in late-night order, Congress draws a Bajrang Dal link",sarcastic,0.5
PM Modi lauds Bhutanese leadership for welcome accorded to Buddha's relics from India,non-sarcastic,1.0
"In spotlight, Governor Thaawar Chand Gehlot’s  journey: BJP old hand, Dalit face in party, govt",non-sarcastic,0.95
Judge’s anti-Muslim remarks: Oppn MPs start signing on notice for impeachment,non-sarcastic,0.95
TMC pulls out Yusuf Pathan from global outreach: ‘How can govt decide our face’,non-sarcastic,0.9
1996 drug seizure case: Supreme Court rejects Sanjiv Bhatt's plea seeking suspension of sentence,non-sarcastic,1.0
"India has overtaken China in rice production, says Agriculture Minister Shivraj Singh Chouhan",non-sarcastic,0.9
Need for community of active social media users who present fact-based narratives in national interest: President,non-sarcastic,0.95
"How BJP crafted Delhi landslide with a coalition of upper caste, OBC groups",non-sarcastic,0.95
Parliament Winter session Day 13 updates: Lok Sabha passes nuclear energy Bill allowing privatisation; discusses VB-G RAM G Bill,non-sarcastic,1.0
‘Saviour of Punjab waters’: AAP gives Bhagwant Mann an image makeover amid row with Haryana,sarcastic,0.65
"Ravi Shankar Prasad: ‘Why is Congress, Opposition shying away from a debate?’",non-sarcastic,0.95
Nashik to Mumbai long march likely to be withdrawn on January 28 after assurance from CM Fadnavis,non-sarcastic,1.0
U.K. interested in e-Courts project; team to visit India next week,non-sarcastic,1.0
Delhi High Court seeks Sengar’s stand on rape survivor’s plea for death penalty,non-sarcastic,1.0
"Waqf Bill debate: Government says claim laid to Parliament complex, Delhi Waqf Board says no knowledge",sarcastic,0.5
"At first Cabinet meeting, Haryana BJP govt moves on SC quota sub-categorisation",non-sarcastic,1.0
JD(U) in or out of NDA in Manipur? Confusion prevails,non-sarcastic,0.95
Rahul Gandhi’s ‘firebrand leader’ feels the heat of Congress rejection: ‘Only a king’s son is king’,sarcastic,0.75
I-PAC punching below belt in TMC? MLA Madan Mitra lands a blow with ‘corruption’ comment,sarcastic,0.5
"From standing with Azam Khan family to taking on Yogi remarks, SP courts Muslim vote again",non-sarcastic,0.95
"Navy’s top maritime forum, the Indo-Pacific Regional Dialogue 2025, opens today",non-sarcastic,1.0
Asking why Pahalgam women survivors didn’t fight back demeans all women,non-sarcastic,0.95
Adhir Chowdhury: ‘Almost all of Bengal Congress opposed alliance with TMC … but only I am being blamed’,non-sarcastic,0.9
Still the party of choice for Bengal’s Muslims — so why is Trinamool Congress uneasy?,sarcastic,0.45
"Delhi riots case hearing updates: Gandhian philosophy advocates peaceful defiance of unjust laws, accused tells SC",sarcastic,0.45
"In Kavitha’s crosshairs, key BRS faces, KCR nephews: Who are Harish Rao, Santosh Kumar",non-sarcastic,0.95
All Yadav hands on deck: Shivpal’s son SP first family’s new poll debutant as party ups UP game,sarcastic,0.55
Trade unions plan February general strike against Labour Codes,non-sarcastic,1.0
Japan will connect Northeast India to the Bay of Bengal: Dy Foreign Minister Horii Iwao,non-sarcastic,1.0
"As BSP fails to win a single Lok Sabha seat, why Mayawati is upset with Muslims",sarcastic,0.5
"As Dhanbad votes today in high-voltage clash, why many have decided to boycott the elections",sarcastic,0.45
Delhi riots case hearing updates: Supreme Court adjourns bail hearing of accused to December 9,non-sarcastic,1.0
"Rajnath Singh interview: ‘Turnout not low…if dip, it’s because Opposition hasn’t enthused their voters’",sarcastic,0.45
Shubhanshu Shukla awarded Ashoka Chakra,non-sarcastic,1.0
Will be a pity if the efforts to polarise succeed: Congress leader Chidambaram,non-sarcastic,0.95
How Arvinder Singh Lovely’s resignation may hurt Congress in Delhi,non-sarcastic,1.0
"Adhir Ranjan Chowdhury: ‘Modi ji rattled… No Pulwama or Balakot, Ram Mandir having no effect… it is not a cakewalk this time’",non-sarcastic,0.95
Today in Politics: Ex-Karnataka CM B S Yediyurappa to appear before CID in POCSO case,non-sarcastic,1.0
"PM Modi begins J&K campaign next week, Art 370 abrogation to be key plank",non-sarcastic,1.0
"Decode Politics: What are the Republic Day tableaux this year, how are they chosen?",non-sarcastic,1.0
T.N. Assembly poll: Congress identifies 70seats to field candidates,non-sarcastic,1.0
BJP goes with OBC face Jagdish Vishwakarma as its Gujarat chief,non-sarcastic,1.0
"Delhi riots case hearing updates: Intellectual terrorists more dangerous than ground level ones, ASG argues for Delhi Police",non-sarcastic,0.95
Military Nursing Service personnel brought under ex-servicemen re-employment rules,non-sarcastic,1.0
"Newsmaker | As an old rival returns, Gujarat ‘giant-killer’ Paresh Dhanani answers Congress call",non-sarcastic,0.95
"‘We arrested trend of Dalits moving away, brought some back… Even Jats did not stand by Congress’: BJP Haryana in-charge",non-sarcastic,0.95
"Barmer’s 26-year-old Independent face Ravindra Bhati: ‘When needed (by BJP), I was deshbhakt, now that I am contesting I am deshdrohi’",sarcastic,0.8
NEET has commercialised education: Congress MP,non-sarcastic,1.0
"‘Dravida lands’ omitted from Tamil anthem at event attended by Governor, CM Stalin demands Centre recall him",non-sarcastic,1.0
Meet the latest MNS leaders enforcing Marathi one slap at a time,sarcastic,0.85
"Killing of Hindu youth in Bangladesh is ‘horrendous’, says MEA",non-sarcastic,1.0
Are e-KYC norms excluding MGNREGA workers? | Explained,non-sarcastic,1.0
Decode Politics: Why heat over Hubballi riot case withdrawal is more smoke than fire,sarcastic,0.45
"Sound and fury by BJP but Owaisi final word in Hyderabad citadel, wins with bigger margin",sarcastic,0.6
"Upping the ante over SIR, how Mamata is laying TMC groundwork for 2026 Bengal polls",non-sarcastic,1.0
Meet new Goa Governor Ashok Gajapati Raju: Key  TDP face who stood by Naidu through thick and thin,non-sarcastic,0.95
"Riding on Odia pride, BJP breaks BJD’s ‘invincible’ tag, Naveen set to lose power after 24 yrs",non-sarcastic,0.95
"As polling gets over in Assam today, how delimitation, changed demographics took centre stage",non-sarcastic,0.95
"Why Mamata Banerjee moved fast to defuse Messi event fiasco: Apology, arrests to Sports Minister’s exit",non-sarcastic,0.95
Is Nitish Kumar’s son joining politics? JD(U) leaders say likely after Holi: ‘He seems to be ready’,non-sarcastic,0.9
"Sonam Wangchuk: ‘Govt’s Ladakh notifications a partial resolution… If our main issues not met, BJP will face the consequences’",non-sarcastic,1.0
Supreme Court refuses to entertain plea against puja at Ladle Mashak Dargah on Mahashivaratri,non-sarcastic,1.0
"Decode Politics: Nehru Memorial to PM Memorial, how its face has changed",non-sarcastic,1.0
Newsmaker | Congress’s choice to take on Atishi in Delhi polls: Who is Alka Lamba?,non-sarcastic,1.0
"Today in Politics: Amit Shah to chair high-level huddle on J-K security, Amarnath Yatra preps",non-sarcastic,1.0
"Rajnath praises Coast Guard’s role during Operation Sindoor, urges it to prepare 2047 roadmap",non-sarcastic,1.0
"McDonald’s, KFC, and other popular food brands at railway stations soon",non-sarcastic,1.0
IndiGo crisis eases after six days; ₹610 crore refunded as govt. tightens oversight,non-sarcastic,1.0
"Address ‘longstanding demands’ of Baloch people, India tells Pakistan",non-sarcastic,0.95
"Decode Politics: Pending reports being tabled in Delhi Assembly, what are CAG’s powers?",non-sarcastic,1.0
"NGT notice to U.P., M.P., Rajasthan governments over ‘serious health issues’ due to sewage in drinking water",non-sarcastic,1.0
Enquiry into private universities is neither a witch-hunt nor playing ‘headmaster’: SC,non-sarcastic,0.9
"India, U.S. seek additional punitive measures against LeT, JeM and their backers",non-sarcastic,1.0
"Saving Himalayas is as important as saving borders, says veteran BJP leader Murli Manohar Joshi",non-sarcastic,0.95
"Sharad Pawar: ‘Many regional parties will move closer to Congress, some may merge’",non-sarcastic,0.95
NIA arrests another key accused in Delhi car bombing,non-sarcastic,1.0
"Days after Lok Sabha cheer, Mumbai Congress returns to fighting ways",sarcastic,0.6
"Congress loses sole Gujarat bypoll, down to 11 in state Assembly of 182",non-sarcastic,0.95
"Bhupinder Singh Hooda interview: ‘In loktantra (democracy), log haar gaye, tantra jeet gaya’",sarcastic,0.85
"Highlights of the 17th Lok Sabha: Landmark Bills, record-high suspensions, a no-confidence motion",sarcastic,0.5
Congress slams Modi government as IndiGo cancellations spark nationwide disruption,non-sarcastic,1.0
Former AMU VC’s message: ‘It has always been a beacon for us. Make more such beacons. Why bank only on one?’,non-sarcastic,0.95
"Operation Sindoor ongoing, any misadventure will be dealt with firmly: Army Chief",non-sarcastic,0.9
"Not India Shining or even INDIA shining moment, but BJP will feel the glare",sarcastic,0.75
Former JNU students union president Dhananjay to contest Bihar Assembly election,non-sarcastic,1.0
Today in Politics: Delhi HC to hear plea on coaching centre tragedy; manipur Assembly session to commence,non-sarcastic,1.0
"PM Modi meets Australian counterpart, discusses cooperation in defence & security, critical minerals, trade",non-sarcastic,1.0
"BJP expels Karnataka rebel Yatnal for ‘indiscipline’, gives a leg-up to Vijayendra",sarcastic,0.45
"Election Commission appoints new observers to monitor SIR in eight States including Bengal, T.N.",non-sarcastic,1.0
NCERT textbook ‘rewrite’ was an ‘RSS-driven exercise’: Congress,non-sarcastic,0.9
"Census 2027 to cost ₹11,718 crore, no budget earmarked for NPR",non-sarcastic,1.0
"Congress warns Election Commissioners, threatens strict action over ‘vote theft’",sarcastic,0.45
Robert Vadra ‘passed the buck’ to three dead ‘associates’ for Gurgaon deal: Who are they?,sarcastic,0.65
"Loyal alliance, restless partner: Congress MP’s power-sharing demand tests DMK tie-up",sarcastic,0.45
Manipur simmers after Arambai Tenggol leader arrested: A short history of the Meitei outfit,non-sarcastic,1.0
"Rajya Sabha Waqf Bill battle tighter, but NDA may edge out Oppn 130-106",non-sarcastic,1.0
Decode Politics: Rahul asks Cong govts to enact ‘Rohith Vemula Act’. Where do the states stand?,non-sarcastic,1.0
Army intensifies winter counter-terror operations in J&K during Chillai Kalan,non-sarcastic,1.0
Dalit candidates in general seats rarely win. Can Chirag Paswan prove an exception?,non-sarcastic,0.95
SKM to intensify stir to press for key demands,non-sarcastic,1.0
How Jagan Mohan Reddy’s deep ties with aide Vijayasai Reddy turned into bad blood,non-sarcastic,1.0
Why a Baramati sugar mill contest is spicing up Maharashtra politics,non-sarcastic,0.95
"Govt cancels lateral entry hiring, as Oppn ‘social justice’ attack hits a nerve",sarcastic,0.5
ED may attach Al-Falah University campus under anti-money laundering law,non-sarcastic,1.0
Today in Politics: Home Minister Amit Shah to begin TN visit; Karnataka BJP continues protests against Cong govt,non-sarcastic,1.0
"2,792 days later, Siddaramaiah stands on the cusp of history, legacy still in the making",non-sarcastic,0.9
Bihar Deputy CM Samrat Choudhary responds to PK’s attacks: ‘My lawyer filed affidavit that said I was a minor … but court did not accept it’,sarcastic,0.65
"Maratha quota issue: BJP to bat on front foot, underline its role vs MVA’s",non-sarcastic,0.9
"As Parliament passes VB-G RAM G Bill, replaces MGNREGA, is it the end of a Congress legacy or start of a new campaign?",sarcastic,0.65
Sonam Wangchuk: ‘This govt no longer has attitude of its last term… We trust it but are ready for most extreme steps’,sarcastic,0.5
CBI arrests Singapore-based accused from Delhi in ₹32-crore bank fraud case,non-sarcastic,1.0
‘Weed called Anbumani removed’: Ramadoss expels son from PMK,sarcastic,0.85
"In Goa, a slugfest over remark that first CM had ‘allergy to state’s identity’",non-sarcastic,0.95
"To counter Rahul Gandhi’s China, US jab, Modi brings up a book on JFK. What does it say?",sarcastic,0.45
"Amid Bihar’s shifting sands in twilight of Nitish, Chirag Paswan eyes centrestage",non-sarcastic,0.9
Today in Politics: Waqf Panel chief heads to Karnataka amid rising BJP heat over ‘encroachment’ notices,non-sarcastic,0.95
"Registration not mandatory, we are recognised as a body of individuals: RSS chief",non-sarcastic,0.9
"CJI says 'general' directions in 2018 hate crime judgment may be 'unmanageable', favours case-to-case action",non-sarcastic,1.0
RSS starts Kashmir to Kanyakumari 'Dhwaj Yatra',non-sarcastic,1.0
"‘Balance of caste, community ignored’: Cong dissent note over choice of NHRC chief",non-sarcastic,1.0
A house for Smriti Irani in Amethi: Why the House doesn’t ask for it,sarcastic,0.6
"Today in Politics: PM Modi gets set to file nomination in Varanasi, eyes third term",non-sarcastic,1.0
"Mehbooba slams Centre over Vande Mataram debate, says BJP indulging in 'empty symbolism'",non-sarcastic,1.0
"With Court bringing ‘closure’ on Section 6A, focus in Assam shifts to NRC, and that CAA question",sarcastic,0.45
"Indian Army allows ‘passive participation’ on social media, revises long-standing ban",non-sarcastic,0.95
Congress leader and former Union Minister Shivraj Patil passes away,non-sarcastic,1.0
UP anti-conversion law: Oppn’s ‘No answer… has love jihad stopped?’ vs Govt’s ‘justice anyway long drawn’,sarcastic,0.5
"In 2019, BJP won 224 of 303 seats with 50%-plus votes; for INDIA, this number was 54",non-sarcastic,1.0
Police deny permission for NREGA activists’ Jantar Mantar protest,non-sarcastic,1.0
Is NCP heading for a merger? Speculation gains ground as Pawars share stage again,non-sarcastic,1.0
Assam CM Sarma says Gaurav Gogoi asked questions ‘to help Pak Army’. Now see the data,sarcastic,0.65
Congress accuses BJP of ‘double standards’ over its engagement with Communist Party of China,non-sarcastic,1.0
Why Asaduddin Owaisi is backing Congress in key Telangana bypoll: ‘Where is the BRS vote?’,sarcastic,0.45
"From the Urdu Press: ‘Current dispensation wants to bulldoze judiciary too’, ‘SC ruling shows Urdu a bridge, not a wall’",non-sarcastic,1.0
"NC to contest all 4 RS seats in J&K, ‘snubbed’ Congress keeps out",non-sarcastic,0.95
Today in Politics: MVA begins seat-sharing planning for Maharashtra Assembly polls,non-sarcastic,1.0
"From the Urdu Press: ‘Bypoll booster for INDIA mirrors LS trends’, ‘Why Samvidhan Hatya Diwas now, in third term?’",sarcastic,0.5
"It’s final: With EPS as face, common agenda in works, AIADMK, BJP form alliance",non-sarcastic,1.0
"Parliament Winter session: Rajya Sabha witnesses war of words over renaming of Raj Bhavans, expunging of remarks",non-sarcastic,1.0
Rethink on lateral entry to Waqf: Need for Modi govt to keep ally lines open,non-sarcastic,0.95
Is it over for Dilip Ghosh and BJP? His absence from key events sets off buzz,non-sarcastic,1.0
"Fifty years ago, delimitation saw similar concerns, about Tamil Nadu share to seat number increase, formula",non-sarcastic,1.0
"Industry raises concerns about online sale of pesticides, demands strict regulation",non-sarcastic,1.0
Delhi court grants Goa police 48 hours transit remand of Luthra brothers in nightclub fire case,non-sarcastic,1.0
"Supreme Court asks FSSAI to consider warning labels for packaged foods high in sugar, salt and saturated fat",non-sarcastic,1.0
How Congress dealt Opposition unity a body blow in Assam: ‘Historic betrayal’,sarcastic,0.5
"After relief from Supreme Court to others, another Delhi riots accused files bail plea seeking parity",non-sarcastic,1.0
Indian Army’s Gajraj Corps develops high-altitude monorail in Arunachal Pradesh,non-sarcastic,0.95
"Akhilesh repeats his ‘18,000 affidavits’, ‘voter deletion’ claims, but picture not as simple in the 4 seats he named",sarcastic,0.4
Delhi-Katra special trains extended amid high passenger demand,non-sarcastic,1.0
HAL denies reports about Tejas jet crash,non-sarcastic,0.95
"SC hearing on SIR updates: SIR order provides complete set of procedural rules, says Rakesh Dwivedi",non-sarcastic,1.0
"Rs 67,928 crore: Pre-poll spending by govts in recent 8 major state elections",non-sarcastic,1.0
"Presidential Reference: Supreme Court opinion draws mixed views from legal experts, Opposition leaders",non-sarcastic,1.0
"From the Urdu Press: ‘Amid BJP jumla, Nitish may meet Shinde fate’, ‘Tejashwi must walk the talk over Muslim share in power’",sarcastic,0.65
AAIB preliminary report on plane crash near Baramati to be released very soon: Civil Aviation Minister,non-sarcastic,0.95
"Swaraj Kaushal passes away: Lawyer who defended George Fernandes, helped end Mizoram insurgency, was married to Sushma Swaraj",non-sarcastic,1.0
"In Agra reserved seat, a desire for BSP as BJP hopes to win seat fourth time",non-sarcastic,1.0
"Home Minister Amit Shah praises schemes worth ₹45,000 crore for exporters after Cabinet nod",non-sarcastic,1.0
"In AAP’s existential battle, several factors are at play: What to watch out for in Delhi polls",non-sarcastic,0.95
Accused in murder case of gangster Goldy Brar’s cousin shot dead in Punjab’s Mohali; Brar booked,non-sarcastic,1.0
Failure to count DNTs in 2027 Census could alienate over 10 crore people: G.N. Devy,non-sarcastic,1.0
Mithilanchal’s irony: Anger on the ground but affection at the booth for NDA,sarcastic,0.65
Why PM Modi keeps bringing up a caste clash of 14 years ago in Haryana,non-sarcastic,0.9
"Indore collector, mayor meeting at RSS office, days after water contamination deaths, sparks fresh row",non-sarcastic,0.95
"Nearly 2,000 security personnel launch anti-Maoist operation along Chhattisgarh-Telangana border",non-sarcastic,1.0
"Tensions escalate in Rajya Sabha over Rahul issue, Opposition stages walkout",non-sarcastic,1.0
"From the Urdu Press: ‘BJP behind throne, Nitish’s 10th innings to be bumpy’, ‘Cong must resolve Siddaramaiah, Shivakumar tussle’",sarcastic,0.4
Meet AAP’s maiden winner in J&K polls: Mehraj  Malik – Doda grassroots worker to key Jammu face,non-sarcastic,1.0
BJP rejigs Bihar caste calculus as two new faces find place in Modi govt,non-sarcastic,1.0
IndiGo loses appeal against DGCA order imposing penalty for alleged pilot training lapses,non-sarcastic,1.0
A fruit to ‘Uttarakhandiyat’: How Congress is readying 2027 game plan against BJP in the hill state,non-sarcastic,0.95
"Today in Politics: Why Amit Shah’s Tamil Nadu visit is crucial; PM Modi in Varanasi, Madhya Pradesh",non-sarcastic,1.0
Indian naval sailing vessel Kaundinya sails on maiden overseas voyage to Oman,non-sarcastic,1.0
Parthiv Patel backs Artificial Intelligence sports-tech startup,non-sarcastic,1.0
"Ambernath to Navi Mumbai, why BJP vs Shiv Sena battle has flared up in civic polls",non-sarcastic,1.0
Why Devendra Fadnavis govt is running out of options as Jarange Patil dials up quota heat,non-sarcastic,1.0
Pilots' body FIP serves legal notice to AAIB in relation to Ahmedabad plane crash probe,non-sarcastic,1.0
"Congress in crisis in Wayanad, but Priyanka Gandhi steers clear of ‘local politics’ during ongoing visit: ‘Workers not happy’",sarcastic,0.6
"With caste survey, Telangana govt clears sub-categorisation of SCs, may queer Congress pitch",non-sarcastic,0.9
"Mumbai BMW hit-and-run: Shiv Sena leader in spotlight is long-time Shinde aide, businessman",non-sarcastic,1.0
"Ex-BJP UP MP says paper leaks a reason for loss, adds can’t discount Dalit switch",non-sarcastic,1.0
Dense fog disrupts flight operations in northern India,non-sarcastic,1.0
"Shahabuddin at its heart, Bihar’s Siwan braces for old ‘gang’ names and an old rivalry",non-sarcastic,0.9
"AAP’s Haryana plan: Focus on Assembly seats bordering Punjab, Delhi",non-sarcastic,1.0
Abhishek Banerjee as West Bengal Home Minister? Proposal sparks a feud in Trinamool Congress,non-sarcastic,0.95
"Lok Sabha passes Industrial Relations Code (Amendment) Bill, 2026",non-sarcastic,1.0
"Sangh Parivar’s stormy petrel Pragya Thakur: Godse praise, Hemant Karkare remark to Bhopal giant-killer",sarcastic,0.5
"Hooda to Selja, why Haryana Congress is enthused, divided over ex-MP’s foot march",non-sarcastic,0.95
Ticket anger in BJP sees resignation by two old-time Jammu leaders,non-sarcastic,1.0
Defence Minister dedicates 125 BRO projects to nation,non-sarcastic,1.0
"As south states explore a federalism front against Modi govt, how history is repeating itself",non-sarcastic,0.95
"Beldanga violence: Was it fair to invoke UAPA, Supreme Court asks NIA",non-sarcastic,1.0
Bill against after-hour work calls: A look at Supriya Sule’s draft law on ‘right to disconnect’,non-sarcastic,1.0
"How Devendra Fadnavis placated Eknath Shinde, kept the peace in Mahayuti",non-sarcastic,0.9
"Centre’s blunder caused Indigo’s flight cancellations ‘disaster’, says Mamata Banerjee",non-sarcastic,0.95
"Maternal mortality rate reduced due to 89% institutional deliveries, says J.P. Nadda",non-sarcastic,1.0
"‘Relations stable, strong’: Envoys of Quad countries hold rare publicised meeting in Beijing",non-sarcastic,0.9
"Wingtips of Air India, IndiGo planes ‘make contact’ at Mumbai airport",sarcastic,0.55
"Digvijay's remark on X open dissent against Congress, Rahul dooming party: BJP",non-sarcastic,0.95
"As Sukhu’s wife hits campaign trail, Himachal Congress divisions come bubbling up",non-sarcastic,0.95
Today in Politics: Maharashtra Cabinet expansion; All eyes on posts,non-sarcastic,1.0
"UP BJP gets a new president: Meet Pankaj Chaudhary, veteran Kurmi leader the party is betting on",non-sarcastic,1.0
"‘Opponents, not enemies’: Parliament needs to remember Sushma Swaraj’s words once more",non-sarcastic,0.9
Impeachment motion against Justice Varma: Govt reaches out to Opposition to build consensus ahead of Monsoon Session,non-sarcastic,1.0
"Held for ‘derogatory’ remark against Karnataka woman minister, BJP MLC and Yediyurappa rival: Who is C T Ravi",non-sarcastic,1.0
"Operation Sindoor highlighted India’s decisive air power, says Rajnath Singh",sarcastic,0.65
"With names for 236 seats declared, MVA allies focus on strongholds",non-sarcastic,0.95
"In aspirational districts, BJP seats dip, Congress doubles tally; vote shares almost constant from 2019",non-sarcastic,0.95
"Not a deal, but surrender: Congress alleges Indo-U.S. trade pact 'betrayal' with India",non-sarcastic,0.9
Operation Sindoor: Congress top brass to discuss security situation,sarcastic,0.85
"In Haryana LS seats, BJP, Congress in even split, but INDIA hits magic number ahead of Assembly polls",non-sarcastic,0.95
"Fewer seats but AAP wins Phagwara mayor polls, Congress cries foul",sarcastic,0.45
"Centre imposes airfare caps, announces special trains amid IndiGo’s slow return to normalcy",non-sarcastic,1.0
"PM Modi in Israel highlights: Agreement reached on use of UPI in Israel, says PM Modi",non-sarcastic,1.0
"Ajit Pawar’s death: President Murmu, PM Modi and other leaders offer condolences",non-sarcastic,0.95
India inaugurates new state-of-the-art Consulate building in Shanghai,non-sarcastic,1.0
"Maharashtra, Karnataka, Tamil Nadu top list of vacant NEET PG seats",non-sarcastic,1.0
"Parliament is a place for delivery, not drama: PM Modi",non-sarcastic,0.95
‘Utilise Parliament time better’: Sharad Pawar’s NCP joins allies who want Congress to move on from Adani issue,sarcastic,0.4
People raised in State-run orphanages and charity homes struggle with SIR rules on parent mapping,sarcastic,0.45
Priyank Kharge claims VB-G RAM G act undermines MGNREGA's rights-based framework,non-sarcastic,0.95
"Parliament Winter session Day 9 updates: 'Against erasing people', say Opposition MPs in electoral reforms debate",non-sarcastic,1.0
"In a first, private technical staff to assist officials in Census",non-sarcastic,0.95
"Nearly 44,000 startups registered in 2025, highest since the launch of Startup India: PM Modi",non-sarcastic,0.95
"As Patnaik vows ‘no more support to BJP’, a brief history of BJD backing for Modi govt in 10 years",sarcastic,0.75
"Key takeaways from Rahul speech: Gunning for Modi, deja vu over Indo-US deal, outreach to youths, farmers",non-sarcastic,0.8
"Decode Politics: Why video has reignited BJP vs AAP war, Delhi to Punjab",non-sarcastic,1.0
"Today in Politics: Parliament set for heated debate on Pahalgam attack, Operation Sindoor",sarcastic,0.65
Chirag Paswan completes his turnaround: From the brink of political oblivion to Modi 3.0 Cabinet,non-sarcastic,0.9
Cabinet resolution hails shifting of PMO to Seva Teerth as 'confluence of history and future',sarcastic,0.65
"Polls roll in, sweep aside cloud of recent militant attacks in Jammu areas",sarcastic,0.5
India sends more relief to Sri Lanka after Cyclone Ditwah,non-sarcastic,1.0
"SC hearing on SIR updates: Social audit, more credible way to revise electoral roll, says Prashant Bhushan",non-sarcastic,1.0
"Atishi in chair, it’s back to business for AAP,  BJP: Kejriwal the issue, graft the plank",sarcastic,0.45
"Bihar sets new state record for victory margins, powered by JD(U)’s strong show",non-sarcastic,0.9
"At first NDA meeting under him as CM, Nitish Kumar accepted as face of coalition; stress on ‘communal harmony’",sarcastic,0.45
"Today in Politics: Parliament winter session begins, no clarity yet on CM question in Maharashtra",non-sarcastic,1.0
"J&K’s first ‘political’ Governor, Satya Pal Malik had a controversial 14-month run in Srinagar Raj Bhawan",non-sarcastic,0.85
"This year, President’s At Home ‘will sound, taste, feel like South India’",non-sarcastic,0.9
‘Only God can save Congress’: Senior MP leader questions party’s mumbo ‘jumbo’ changes,sarcastic,0.75
"Had insightful discussions on governance, reforms at Chief Secretaries’ meeting: PM Modi",non-sarcastic,1.0
NYC mayoral election an “internal matter” of United States: official sources on Zohran Mamdani’s victory,sarcastic,0.85
"CISF personnel honoured for saving lives, vital installations during Operation Sindoor",non-sarcastic,0.95
"Bihar elections: BJP sees changes as counter to anti-incumbency, but has few easy choices",non-sarcastic,0.95
"UCC, delimitation and Muslim quota: Day before swearing-in, TDP flags ‘discussion’ points",non-sarcastic,0.95
"After High Court, desperate BRS turns to President to ‘put an end to poaching’",sarcastic,0.6
"V-P poll: BRS’s 4 MPs to abstain, Oppn Telugu card doesn’t work",non-sarcastic,0.95
Jaishankar to be chief guest at inaugural ceremony of UNESCO meet on protecting intangible heritage,non-sarcastic,1.0
"Amid heated debate, banter between Opposition and Chair",non-sarcastic,0.95
"Delimitation meet: Hindi belt Opp parties not on same page, TMC too stays away; BJP ally TDP silent",non-sarcastic,0.95
Rise of Jana Sena Party scripted by ‘Power Star’ – from 2019 poll ashes to 2024 glory,sarcastic,0.45
"BJP’s Christian face in Kerala: Who is George Kurian, second minister from the state in Modi govt?",non-sarcastic,1.0
"50 years of Emergency | ‘When fear gave way… and we sensed there was a change in the air’, a reporter remembers",non-sarcastic,1.0
"Convicted for life, after a feud to death: The story of Munna Shukla, a rival, and Bihar politics",non-sarcastic,0.95
